0.225	1.86112	3.85909	3.85909	5.89559	5.72951	5.89559	7.64031	7.87816	7.87816	9.78374	9.2359	9.78374	
0.23	1.85927	3.85727	3.85727	5.89443	5.72534	5.89443	7.63435	7.87782	7.87782	9.78103	9.19995	9.78103	
0.235	1.85746	3.85548	3.85548	5.8933	5.72125	5.8933	7.62887	7.87779	7.87779	9.77868	9.16193	9.77868	
0.24	1.85567	3.85372	3.85372	5.89221	5.71721	5.89221	7.624	7.87813	7.87813	9.77671	9.12158	9.77671	
0.245	1.85392	3.852	3.852	5.89115	5.71323	5.89115	7.61987	7.87894	7.87893	9.77514	9.07854	9.77514	
0.25	1.85219	3.85031	3.85031	5.89013	5.70931	5.89013	7.61672	7.8803	7.88029	9.77397	9.03235	9.77397	
0.255	1.8505	3.84866	3.84866	5.88914	5.70545	5.88914	7.61484	7.88236	7.88236	9.77323	8.98243	9.77323	
0.26	1.84884	3.84703	3.84703	5.88818	5.70165	5.88818	7.61465	7.88533	7.88533	9.77292	8.92794	9.77292	
0.265	1.8472	3.84544	3.84544	5.88725	5.69791	5.88725	7.61682	7.88948	7.88948	9.77305	8.86765	9.77305	
0.27	1.84559	3.84387	3.84387	5.88635	5.69421	5.88635	7.62234	7.89526	7.89526	9.77362	8.79964	9.77362	
0.275	1.84401	3.84234	3.84234	5.88548	5.69057	5.88548	7.63301	7.90343	7.90343	9.77465	8.72061	9.77465	
0.28	1.84246	3.84083	3.84083	5.88463	5.68697	5.88463	7.65263	7.91545	7.91545	9.77614	8.62384	9.77614	
0.285	1.84093	3.83935	3.83935	5.8838	5.68342	5.8838	7.69224	7.93519	7.93519	9.77808	8.49055	9.77808	
0.29	1.83942	3.8379	3.8379	5.883	5.67991	5.883	7.88308	8.11586	7.8831	9.78048	8.11587	9.78048	
0.295	1.83794	3.83648	3.83648	5.8822	5.67644	5.8822	7.73395	8.23684	7.73395	9.78334	8.23684	9.78334	
