0.58	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.585	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.59	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.595	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.6	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.605	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.61	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.615	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.62	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.625	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.63	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.635	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.64	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.645	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.65	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.655	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.66	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.665	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.67	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.675	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.68	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.685	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.69	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.695	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.7	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.705	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.71	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.715	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
0.72	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
